Year,Table,Row
1904,4,"['ERA', 'Boston', '2.12']"
1904,4,"['Fewest Hits Allowed', 'Philadelphia', '1,149']"
1904,4,"['Fewest Home Runs Allowed', 'Cleveland', '10']"
1904,4,"['Fewest Walks Allowed', 'Boston', '233']"
1904,4,"['Saves', 'Washington', '4']"
1904,4,"['Shutouts', 'Chicago', '26']"
1904,4,['Philadelphia']
1904,4,"['Strikeouts', 'Philadelphia', '887']"
1904,4,"['Statistic', 'Team', '#']"
1905,0,['1905 American League Player Review\n← 1904 | 1905 Hitting Statistics League Leaders | 1906 →']
1905,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,0,"['Base on Balls', 'Topsy Hartsel', 'Philadelphia', '121', 'Top 25']"
1905,0,"['Batting Average', 'Elmer Flick', 'Cleveland', '.308', 'Top 25']"
1905,0,"['Doubles', 'Harry Davis', 'Philadelphia', '47', 'Top 25']"
1905,0,"['Hits', 'George Stone', 'St. Louis', '187', 'Top 25']"
1905,0,"['Home Runs', 'Harry Davis', 'Philadelphia', '8', 'Top 25']"
1905,0,"['On Base Percentage', 'Topsy Hartsel', 'Philadelphia', '.409', 'Top 25']"
1905,0,"['RBI', 'Harry Davis', 'Philadelphia', '83', 'Top 25']"
1905,0,"['Runs', 'Harry Davis', 'Philadelphia', '93', 'Top 25']"
1905,0,"['Slugging Average', 'Elmer Flick', 'Cleveland', '.462', 'Top 25']"
1905,0,"['Stolen Bases', 'Danny Hoffman', 'Philadelphia', '46', 'Top 25']"
1905,0,"['Total Bases', 'George Stone', 'St. Louis', '259', 'Top 25']"
1905,0,"['Triples', 'Elmer Flick', 'Cleveland', '18', 'Top 25']"
1905,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,0,['1905 A.L. History | 1905 N.L. History | Year-by-Year History']
1905,1,['1905 American League Pitcher Review\n← 1904 | 1905 Pitching Statistics League Leaders | 1906 →']
1905,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,1,"['Complete Games', 'Harry Howell', 'St. Louis', '35', 'Top 25']"
1905,1,"['George Mullin', 'Detroit']"
1905,1,"['Eddie Plank', 'Philadelphia']"
1905,1,"['ERA', 'Rube Waddell', 'Philadelphia', '1.48', 'Top 25']"
1905,1,"['Games', 'Rube Waddell', 'Philadelphia', '46', 'Top 25']"
1905,1,"['Saves', 'Jim Buchanan', 'St. Louis', '2', 'Top 25']"
1905,1,"['Shutouts', 'Ed Killian', 'Detroit', '8', 'Top 25']"
1905,1,"['Strikeouts', 'Rube Waddell', 'Philadelphia', '287', 'Top 25']"
1905,1,"['Winning Percentage', 'Rube Waddell', 'Philadelphia', '.730', 'Top 25']"
1905,1,"['Wins', 'Rube Waddell', 'Philadelphia', '27', 'Top 25']"
1905,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1905,1,['1905 A.L. History | 1905 N.L. History | Year-by-Year History']
1905,2,['1905 American League\nTeam Standings']
1905,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1905,2,"['Philadelphia Athletics', '92', '56', '.622', '0']"
1905,2,"['Chicago White Sox', '92', '60', '.605', '2']"
1905,2,"['Detroit Tigers', '79', '74', '.516', '15½']"
1905,2,"['Boston Americans', '78', '74', '.513', '16']"
1905,2,"['Cleveland Naps', '76', '78', '.494', '19']"
1905,2,"['New York Highlanders', '71', '78', '.477', '21½']"
1905,2,"['Washington Senators', '64', '87', '.424', '29½']"
1905,2,"['St. Louis Browns', '54', '99', '.353', '40½']"
1905,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1905,2,['1905 American League Team Standings']
1905,3,['1905 American League Team Review\nHitting Statistics League Leaderboard']
1905,3,"['Statistic', 'Team', '#']"
1905,3,"['Base on Balls', 'Boston', '486']"
1905,3,"['Batting Average', 'Philadelphia', '.255']"
1905,3,"['Doubles', 'Philadelphia', '256']"
1905,3,"['Hits', 'Cleveland', '1,318']"
1905,3,"['Home Runs', 'Boston', '29']"
1905,3,"['On Base Percentage', 'Philadelphia', '.310']"
1905,3,"['Runs', 'Philadelphia', '623']"
1905,3,"['Slugging Average', 'Philadelphia', '.338']"
1905,3,"['Stolen Bases', 'New York', '200']"
1905,3,"['Triples', 'Cleveland', '72']"
1905,3,"['Statistic', 'Team', '#']"
1905,4,['1905 American League Team Review\nPitching Statistics League Leaderboard']
1905,4,"['Statistic', 'Team', '#']"
1905,4,"['Complete Games', 'Cleveland', '140']"
